型号,价格,评分,图片链接
vivo X300 Pro（12GB+256GB）,￥5299,10.0,https://i2-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/00/08/ChMkLWjtDTOIO2AlAAAPg5dDKeIAAFDBAJwY-YAAA-b912.jpg
iQOO 15(12GB/256GB),￥4199,10.0,https://i5-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/05/04/ChMkLWj2NW2IBd1pAAAQ5EJj5kwAAFV-QJ1i2UAABD8005.jpg
HUAWEI Mate 70(12GB/512GB),￥5999,9.9,https://i4-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/02/04/ChMkLWjwkF6IQYDIAAAPZA0YrxcAAFJ5ANbZGwAAA98214.jpg
OPPO Find X9(12GB/256GB),￥4399,10.0,https://i2-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/02/0A/ChMkLWjxBhKIFzTqAAAQfHfJwzUAAFLWwEiuEsAABCU392.jpg
苹果iPhone 17 Pro（256GB）,￥8999,9.9,https://i3-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/09/04/ChMkLWjA7XiIW5lkAAAPx3Vt3asAADmHgARKG4AAA_f133.jpg
OPPO Reno15(12GB/256GB),￥2999,10.0,https://i3-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/06/0A/ChMkLWkbK_OIZzzaAAAOM2U8hzsAAGbXwKQM3sAAA5L819.jpg
苹果iPhone 17（256GB）,￥5999,10.0,https://i2-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/09/04/ChMkLWjA6d-Ia-oQAAAMb7h2zs4AADmGAP0GCQAAAyH028.jpg
小米17 Pro Max（12GB/512GB）,￥5999,10.0,https://2d.zol-img.com.cn/product_small/30_80x60/575/ceSu3EsaiAkCo.jpg
华为Mate 70 Air(12GB/256GB),￥4199,10.0,https://i1-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/00/0D/ChMkLWkMZjeIWPv3AAAMAeu5B7kAAGD_AHliFMAAAwZ007.jpg
荣耀Magic8(12GB/256GB),￥4499,10.0,https://i1-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/01/0E/ChMkLWjvplCIU_BDAAALNeShnVQAAFIXwBd2mQAAAtN007.jpg
一加15（12GB/256GB）,￥3999,9.8,https://i2-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/0A/01/ChMkLWj_gnCIWDwVAAASJ2oyjz8AAFpJgNeVU0AABI_552.jpg
HUAWEI Mate 70 Pro(12GB/512GB),￥6999,9.9,https://i5-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/02/04/ChMkLWjwkI2IQAeuAAAQQswGn9QAAFJ5QDIX8UAABBa965.jpg
OPPO Find X9 Pro(12GB/256GB),￥5299,9.9,https://i4-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/02/0A/ChMkLWjxBjKIdGvzAAAQwZgF9z4AAFLWwGMZ0IAABDZ924.jpg
一加Ace 6(12GB/256GB),￥2599,10.0,https://i3-prosmall-fd.zol-img.com.cn/t_s80x60/g8/M00/0A/01/ChMkLWj_gdaIa38oAAAQO1GBHVAAAFpJgDmNDwAABBT283.jpg
